FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;01;0;0031867148239;07;2018;20/07/2018;014410930605000;PT SURABAYA EXPRESS;JL TANJUNG PRIOK 11 W, PERAK BARAT, SURABAYA;4914000;491400;0;1;015;015;;;
FM;03;0;0031864807749;07;2018;11/07/2018;018310698511000;KOP TKBM PELABUHAN TANJUNG EMAS SEMARANG;JL BORNEO NO 3 TANJUNGMAS SEMARANG;46830116;4683011;0;1;013;013;;;
FM;03;0;0041880522566;07;2018;31/07/2018;663215069093000;PT TERMINAL TELUK LAMONG;JL RAYA TAMBAK OSOWILANGON KM 12 SURABAYA;5332829301;533282930;0;1;015;015;;;
FM;03;1;0021813069116;07;2018;04/07/2018;024050767511000;PT SAMUDERA PERDANA SELARAS;SEMARANG INDAH BLOK D.XI NO 2A TAWANG MAS SEMARANG;58000000;5800000;0;1;013;013;;;
FM;03;0;0041876372125;07;2018;23/07/2018;744936618613000;PT BERKAH INDUSTRI MESIN ANGKAT;JL PERAK BARAT NO 379 RT 002 RW 003 PERAK UTARA SURABAYA;27875584;2787558;0;1;013;013;;;
FM;01;0;0021850363624;07;2018;26/07/2018;747213619612000;CV CAHYATRI ABADI;JL YOS SUDARSO BLOK IV NO 41, PULO PANCIKAN, GRESIK;3900000;390000;0;1;015;015;;;
FM;03;0;0041847089170;07;2018;26/07/2018;011085016631000;KOP KOPERASI PEGAWAI PT PELABUHAN INDONESIA III SURABAYA;JL PERAK TIMUR NO 426 RT 02 RW 03 PERAK UTARA SURABAYA;66666664;6666666;0;0;013;013;;;
FM;03;0;0031811004870;07;2018;19/07/2018;012698056092000;PT WILMAR NABATI INDONESIA;GEDUNG B & G LANTAI 9 JALAN PUTRI HIJAU NO 10 KESAWAN MEDAN;762930349;76293035;0;1;015;015;;;
FM;03;0;0011833268895;07;2018;17/07/2018;030771554518000;CV TEGUH JAYA;BRIGJEN SUDIARTO 295 RT 003 RW 005 GEMAH KOTA SEMARANG;18095000;1809500;0;1;013;013;;;
FM;03;0;0031878064224;07;2018;16/07/2018;024050767511000;PT SAMUDERA PERDANA SELARAS;SEMARANG INDAH BLOK D.XI NO 2A TAWANG MAS SEMARANG;58000000;5800000;0;1;013;013;;;
FM;01;0;0031869917863;07;2018;25/06/2018;015563554522000;KOP. KARY. PELABUHAN CILACAP BAHARI;JL. LAUT JAWA NO.1, TAMBAKREJA, CILACAP;400000;40000;0;1;014;014;;;
FM;03;0;0041880522565;07;2018;31/07/2018;663215069093000;PT TERMINAL TELUK LAMONG;JL RAYA TAMBAK OSOWILANGON KM 12 SURABAYA;3955673988;395567398;0;1;015;015;;;
FM;03;0;0031813718967;07;2018;12/07/2018;019072248092000;PT SARI AGROTAMA PERSADA;JL PULO KAMBING RAYA KAV IIE NO 7 PULO GADUNG JAKARTA TIMUR;17500000;1750000;0;1;013;013;;;
FM;01;0;0031869917862;07;2018;25/06/2018;015563554522000;KOP. KARY. PELABUHAN CILACAP BAHARI;JL. LAUT JAWA NO.1, TAMBAKREJA, CILACAP;400000;40000;0;1;014;014;;;
FM;03;0;0041870286138;07;2018;23/07/2018;011488137631000;PT SINAR MALUKU SHIPPING LINE (SINMA LINES);JL PERAK BARAT NO 245 PERAK UTARA SURABAYA;29784552;2978455;0;1;015;015;;;
FM;03;0;0041880522568;07;2018;31/07/2018;663215069093000;PT TERMINAL TELUK LAMONG;JL RAYA TAMBAK OSOWILANGON KM 12 SURABAYA;9060842659;906084265;0;1;015;015;;;
FM;03;0;0031840782278;07;2018;16/07/2018;020258737091000;PT TRAKINDO UTAMA;JL CILANDAK KKO NO 01 CILANDAK TIMUR JAKARTA SELATAN;13025870;1302587;0;1;013;013;;;
FM;03;0;0041880522571;07;2018;31/07/2018;663215069093000;PT TERMINAL TELUK LAMONG;JL RAYA TAMBAK OSOWILANGON KM 12 SURABAYA;5539296794;553929679;0;1;015;015;;;
FM;03;0;0031849307740;07;2018;25/07/2018;022072854613000;PT PELINDO DAYA SEJAHTERA;PERAK TIMUR NO 610 PERAK UTARA SURABAYA;199640055;19964006;0;1;013;013;;;
FM;03;0;0021845687051;07;2018;03/07/2018;748680337522000;SUMBER TIRTA ABADI;JL. BROMO RUKO NO.4 RT 08 RW 09, SIDAKAYA, CILACAP;43512740;4351274;0;1;014;014;;;
FM;03;0;0041870286131;07;2018;23/07/2018;011488137631000;PT SINAR MALUKU SHIPPING LINE (SINMA LINES);JL PERAK BARAT NO 245 PERAK UTARA SURABAYA;14359041;1435904;0;1;015;015;;;
FM;01;0;0021858358683;07;2018;08/07/2018;017954827522000;PUTERA ZAIDA;JL. POS RONDA NO. 459 RT 03 RW 01, CILACAP;8000000;800000;0;1;014;014;;;
FM;03;0;0041870286136;07;2018;23/07/2018;011488137631000;PT SINAR MALUKU SHIPPING LINE (SINMA LINES);JL PERAK BARAT NO 245 PERAK UTARA SURABAYA;14208086;1420808;0;1;015;015;;;
FM;03;0;0021859038302;07;2018;05/07/2018;711503508508000;CV DINAR MITRAGUNA;JL PISANG RT 005 RW 003 LAMPER TENGAH KOTA SEMARANG;8572500;857250;0;1;013;013;;;
FM;03;0;0031849307739;07;2018;25/07/2018;022072854613000;PT PELINDO DAYA SEJAHTERA;PERAK TIMUR NO 610 PERAK UTARA SURABAYA;186632610;18663261;0;1;013;013;;;
FM;03;0;0031849307729;07;2018;24/07/2018;022072854613000;PELINDO DAYA SEJAHTERA;JL. PREKA TIMUR NO. 610, PERAK UTARA, SURABAYA;61105000;6110500;0;1;014;014;;;
FM;03;1;0021827702163;07;2018;12/07/2018;725459697518000;CV SURYA LESTARI;JL GRINGSING BLOK VIII NO 5 RT 06 RW 02 MUKTIHARJO KIDUL KOTA SEMARANG;11670842;1167084;0;1;013;013;;;
FM;03;0;0021811851307;07;2018;05/07/2018;029937331615000;PT PRIMA JASA LOGISTIK;TENGGILIS UTARA II/78 RT 005 RW 004 TENGGILIS MEJOYO SURABAYA;482594091;48259409;0;1;015;015;;;
FM;03;0;0021859390643;07;2018;03/07/2018;021585096522000;RISMA PUTRI MANDIRI;JL. NIAGA RT 01 RW 09, TAMBAKREJA, CILACAP;19886250;1988625;0;1;014;014;;;
